disease,urdu_name,symptoms_urdu,symptoms_english,treatment_urdu,treatment_english,emergency,category,severity
Viral Flu,نزلہ زکام,بخار جسم درد تھکاوٹ کھانسی ناک بہنا,fever body ache fatigue cough runny nose,پیناڈول لیں آرام کریں پانی زیادہ پئیں,Take paracetamol rest drink plenty fluids,No,Viral,Mild
Common Cold,عام سردی,ناک بہنا چھینکنا گلا خراب آنکھوں سے پانی,sneezing runny nose sore throat watery eyes,شہد لیموں گرم پانی گرم چائے آرام,Honey lemon warm water rest well,No,Viral,Mild
Typhoid,میعادی بخار,تیز بخار پیٹ درد کمزوری سر درد دست,high fever abdominal pain weakness headache diarrhea,فوری ڈاکٹر سے ملیں اینٹی بائیوٹکس ضروری ہیں,See doctor immediately antibiotics needed,Yes,Bacterial,Severe
Dengue Fever,ڈینگی بخار,تیز بخار آنکھوں میں درد جسم پر دھبے ہڈی درد,high fever eye pain skin rash bone breaking pain,پلیٹلیٹس چیک کروائیں ہسپتال داخل ہوں پانی زیادہ,Check platelets hospitalize increase fluid intake,Yes,Viral,Severe
Malaria,ملیریا,کانپنا ٹھنڈ پھر تیز بخار پسینہ تھکان,chills cold then high fever sweating fatigue,فوری ڈاکٹر ملیریا کی دوا ضروری,See doctor immediately antimalarial medicine needed,Yes,Parasitic,Severe
Gastritis,معدے کی سوزش,پیٹ میں جلن جی متلانا کھانے کے بعد درد اُبکائی,stomach burning nausea pain after eating vomiting,اینٹاسڈ لیں مرچ مسالہ بند ہلکا کھانا,Take antacid avoid spicy food eat light meals,No,Digestive,Mild
Migraine,درد شقیقہ,ایک طرف تیز سر درد اندھیرے میں تکلیف اُبکائی روشنی سے پریشانی,one sided severe headache nausea vomiting light sensitivity,اندھیرے کمرے میں آرام کریں درد کی دوا لیں,Rest in dark quiet room take painkiller,No,Neurological,Moderate
UTI,پیشاب کی نالی کا انفیکشن,پیشاب میں جلن بار بار پیشاب پیشاب میں خون,burning urination frequent urination blood in urine,پانی زیادہ پئیں فوری ڈاکٹر سے ملیں,Drink plenty water see doctor urgently,Yes,Bacterial,Moderate
Allergy,الرجی,چھینکنا آنکھ کھجلی سانس پھولنا جلد پر دانے,sneezing itchy eyes breathing difficulty skin rash,اینٹی الرجی دوا لیں الرجن سے دور رہیں,Take antihistamine avoid allergens,No,Allergic,Mild
Tonsillitis,لوزتین کی سوزش,گلا خراب نگلنے میں تکلیف بخار ٹانسل سوجنا,sore throat painful swallowing fever swollen tonsils,گرم نمک پانی سے غرارے کریں ڈاکٹر سے ملیں,Warm salt water gargle see doctor,No,Bacterial,Moderate
Pneumonia,پھیپھڑوں کی سوزش,تیز بخار بلغمی کھانسی سانس میں تکلیف سینہ درد,high fever productive cough breathing difficulty chest pain,فوری ہسپتال جائیں اینٹی بائیوٹکس ضروری,Emergency hospital antibiotics needed immediately,Yes,Bacterial,Severe
Asthma,دمہ,سانس پھولنا سینے میں سیٹی کی آواز کھانسی,shortness breath wheezing chest tightness cough,انہیلر استعمال کریں ٹرگر سے بچیں ڈاکٹر ملیں,Use inhaler avoid triggers see doctor,Yes,Respiratory,Moderate
Diabetes,شوگر کی علامات,زیادہ پیاس بار بار پیشاب تھکاوٹ نظر دھندلا,excessive thirst frequent urination fatigue blurry vision,فوری بلڈ شوگر ٹیسٹ کروائیں ڈاکٹر سے ملیں,Get blood sugar test immediately consult doctor,Yes,Metabolic,Moderate
High Blood Pressure,بلند فشار خون,سر درد چکر آنا ناک سے خون آنا سینہ بھاری,headache dizziness nosebleed chest discomfort,بی پی چیک کروائیں نمک کم کریں ڈاکٹر ملیں,Check BP reduce salt intake see doctor,Yes,Cardiovascular,Moderate
Heart Attack,دل کا دورہ,سینے میں تیز درد بائیں بازو میں درد سانس پھولنا پسینہ,severe chest pain left arm pain shortness breath sweating,فوری 1122 پر کال کریں ہارٹ اٹیک,CALL 1122 IMMEDIATELY HEART ATTACK EMERGENCY,Yes,Cardiovascular,Critical
Appendicitis,اپینڈیسائٹس,پیٹ کے نیچے دائیں طرف درد بخار اُبکائی,lower right abdominal pain fever nausea vomiting,فوری ہسپتال جائیں آپریشن کی ضرورت,EMERGENCY HOSPITAL surgery may be needed,Yes,Surgical,Critical
Food Poisoning,فوڈ پوائزننگ,اُبکائی دست پیٹ میں مروڑ کمزوری بخار,nausea vomiting diarrhea stomach cramps weakness fever,پانی اور ORS پئیں شدید ہو تو ہسپتال,Drink water and ORS hospitalize if severe,No,Digestive,Moderate
Chicken Pox,چکن پاکس ماتا,جسم پر کھجلی والے دانے بخار تھکاوٹ,itchy blisters all over body fever fatigue,کیلامائن لوشن لگائیں کھجائیں نہیں آرام کریں,Apply calamine lotion do not scratch rest,No,Viral,Mild
Measles,خسرہ,تیز بخار سرخ دانے ناک بہنا آنکھیں سرخ کھانسی,high fever red rash runny nose red eyes cough,وٹامن اے لیں آرام کریں ڈاکٹر سے ملیں,Take Vitamin A rest consult doctor,No,Viral,Moderate
Jaundice,یرقان,آنکھیں پیلی جلد پیلی گہرا پیشاب تھکاوٹ,yellow eyes yellow skin dark urine fatigue weight loss,فوری ہسپتال جائیں چکنائی سے بچیں,Emergency hospital avoid fatty food,Yes,Liver,Moderate
Kidney Stones,گردے کی پتھری,کمر میں تیز درد پیشاب میں تکلیف اُبکائی,severe back pain painful urination nausea vomiting,پانی بہت زیادہ پئیں فوری ڈاکٹر سے ملیں,Drink lots of water see doctor urgently,Yes,Urological,Moderate
Arthritis,جوڑوں کا درد,جوڑوں میں درد سوجن اکڑاہٹ صبح کا درد,joint pain swelling stiffness morning pain,درد کی دوا ہلکی ورزش ڈاکٹر سے ملیں,Pain relief gentle exercise see doctor,No,Rheumatological,Moderate
Anemia,خون کی کمی,تھکاوٹ پیلا رنگ سانس پھولنا چکر آنا,fatigue pale skin shortness breath dizziness weakness,آئرن والی غذا کھائیں آئرن کی دوا لیں,Eat iron rich food take iron supplements,No,Blood,Moderate
Conjunctivitis,آنکھ آنا,آنکھیں سرخ آنکھ سے پانی بہنا کھجلی سوجن,red eyes watery discharge itching swollen eyelids,آنکھیں ہاتھ سے نہ چھوئیں آنکھوں کا ڈاکٹر ملیں,Do not touch eyes with hands see eye doctor,No,Eye,Mild
Sinusitis,سائنوسائٹس,ناک بند گال کی ہڈی میں درد سر درد ناک سے بو,nasal congestion cheekbone pain headache facial pressure,بھاپ لیں سیلائن اسپرے ڈاکٹر سے ملیں,Steam inhalation saline spray see doctor,No,ENT,Mild
Ear Infection,کان کا انفیکشن,کان میں درد کان میں سیٹی سنائی کم دینا کان سے پانی,ear pain ringing ear reduced hearing ear discharge,درد کی دوا لیں فوری کان کے ڈاکٹر سے ملیں,Take pain relief see ENT doctor urgently,No,ENT,Moderate
Chikungunya,چکن گنیا,اچانک تیز بخار جوڑوں میں تیز درد جلد پر دانے,sudden high fever severe joint pain skin rash,ڈاکٹر سے ملیں زیادہ پانی اور آرام کریں,See doctor increase fluids and rest,Yes,Viral,Moderate
Scabies,خارش,رات کو زیادہ کھجلی انگلیوں کے بیچ دانے,intense itching at night rash between fingers wrist,پرمیتھرن کریم لگائیں کپڑے دھوئیں,Apply permethrin cream wash all clothes,No,Parasitic,Mild
Heat Stroke,گرمی کا دورہ,تیز بخار پسینہ بند ہونا بے ہوشی الجھن,very high temperature no sweating confusion faintness,فوری ٹھنڈی جگہ لے جائیں ایمرجنسی,EMERGENCY move to cool place immediately,Yes,Environmental,Critical
Dehydration,پانی کی کمی,منہ سوکھنا پیشاب کم آنا چکر آنا تھکاوٹ,dry mouth dark urine dizziness weakness fatigue,ORS اور پانی پئیں شدید ہو تو ڈرپ,Drink ORS and water IV fluids if severe,No,Metabolic,Moderate
Constipation,قبض,پاخانہ مشکل سے آنا پیٹ بھری محسوس ہونا,difficulty passing stool bloating stomach discomfort,فائبر والی غذا پانی زیادہ چہل قدمی,High fiber food plenty water walking,No,Digestive,Mild
Diarrhea,دست,بار بار پتلا پاخانہ پیٹ میں مروڑ متلی,frequent loose stools stomach cramps nausea,ORS پانی پلاتے رہیں ہلکی غذا,Keep giving ORS water light diet,No,Digestive,Mild
Dengue Hemorrhagic,ڈینگی ہیمریجک,تیز بخار دھبے ناک یا مسوڑوں سے خون بہنا,high fever rash bleeding nose gums internal bleeding,فوری ہسپتال خون بہنے کا خطرہ ہے,EMERGENCY HOSPITAL risk of hemorrhage,Yes,Viral,Critical
Tuberculosis,تپ دق,لمبے عرصے کی کھانسی خون والی کھانسی تھکاوٹ رات پسینہ,prolonged cough blood in cough weight loss night sweats,فوری ڈاکٹر سے ملیں ٹی بی ٹیسٹ کروائیں,See doctor immediately get TB test done,Yes,Bacterial,Severe
Hypertensive Crisis,بلڈ پریشر بحران,بہت تیز سر درد آنکھیں دھندلی اُبکائی الجھن,severe headache blurred vision vomiting confusion,فوری ہسپتال بی پی بہت زیادہ ہے,EMERGENCY HOSPITAL critically high blood pressure,Yes,Cardiovascular,Critical
Anxiety Attack,اضطراب کا دورہ,دل کی دھڑکن تیز سانس پھولنا ہاتھ کانپنا پسینہ,rapid heartbeat shortness breath trembling sweating panic,گہری سانسیں لیں ٹھنڈا پانی پئیں شانت رہیں,Deep breathing drink cold water calm down,No,Mental Health,Moderate
Depression,ڈپریشن کی علامات,اداسی تھکاوٹ نیند نہیں کچھ اچھا نہ لگنا,persistent sadness fatigue insomnia loss of interest,ڈاکٹر یا سائیکولوجسٹ سے ضرور ملیں,Please see a doctor or psychologist,No,Mental Health,Moderate
Stroke,فالج,چہرے یا ہاتھ میں کمزوری بولنے میں مشکل,face drooping arm weakness speech difficulty sudden,فوری 1122 فالج کا اٹیک ہے,CALL 1122 STROKE EMERGENCY immediately,Yes,Neurological,Critical
Liver Cirrhosis,جگر کا سروسس,پیٹ میں پانی آنکھیں پیلی تھکاوٹ وزن کم,abdominal swelling yellow eyes fatigue weight loss,فوری ڈاکٹر سے ملیں جگر کا مسئلہ,See doctor immediately liver issue,Yes,Liver,Severe
Peptic Ulcer,معدے کا السر,خالی پیٹ درد کھانے سے آرام اُبکائی,stomach pain when empty relieved eating nausea,ڈاکٹر سے دوا لیں مرچ سے بچیں,Get medicine from doctor avoid spices,No,Digestive,Moderate
Gout,نقرس,انگوٹھے یا جوڑوں میں تیز درد سوجن سرخی,severe joint pain big toe swelling redness,پانی زیادہ پئیں سرخ گوشت بند دوا لیں,Drink water avoid red meat take medication,No,Rheumatological,Moderate
GERD,تیزابیت,سینے میں جلن کھانا واپس آنا کھانسی لیٹنے سے بڑھے,heartburn acid reflux chronic cough worse lying down,کھانے کے بعد نہ لیٹیں اینٹاسڈ لیں,Do not lie after eating take antacid,No,Digestive,Mild
Vertigo,چکر,اٹھنے پر چکر آنا نظر گھومنا اُبکائی,dizziness when standing spinning sensation nausea imbalance,آہستہ اٹھیں ENT ڈاکٹر سے ملیں,Rise slowly consult ENT doctor,No,Neurological,Moderate
Ringworm,داد,گول رنگ جیسی کھجلی جلد سرخ دھبہ,circular ring shaped itchy rash red scaly patch,اینٹی فنگل کریم لگائیں صفائی رکھیں,Apply antifungal cream maintain hygiene,No,Fungal,Mild
Psoriasis,چنبل,جلد پر سفید چھلکے والی پیچز کھجلی سرخی,silvery scaly skin patches chronic itching redness,ڈرماٹولوجسٹ سے ملیں سٹیرائڈ کریم,See dermatologist use prescribed steroid cream,No,Dermatological,Moderate
COVID-19,کووڈ 19,بخار کھانسی تھکاوٹ سونگھ نہ آنا سانس میں تکلیف,fever dry cough fatigue loss smell taste breathing difficulty,آئسولیشن کریں ٹیسٹ کروائیں ڈاکٹر سے رابطہ,Isolate get tested contact doctor,Yes,Viral,Moderate
Meningitis,دماغ کی سوزش,تیز سر درد گردن اکڑی بخار روشنی سے تکلیف,severe headache stiff neck high fever light sensitivity,فوری ہسپتال جائیں زندگی کا مسئلہ,EMERGENCY HOSPITAL life threatening condition,Yes,Bacterial,Critical
Hypothyroidism,تھائرائڈ کی کمی,وزن بڑھنا تھکاوٹ سردی زیادہ لگنا بال گرنا,weight gain fatigue always cold hair loss constipation,تھائرائڈ ٹیسٹ کروائیں ڈاکٹر سے ملیں,Get thyroid test consult endocrinologist,No,Endocrine,Moderate
Hepatitis B,ہیپاٹائٹس بی,بخار یرقان تھکاوٹ پیٹ درد بھوک نہ لگنا,fever jaundice fatigue abdominal pain loss appetite,فوری ڈاکٹر سے ملیں آرام کریں دوا لیں,See doctor immediately rest take medication,Yes,Viral,Severe
Chickenpox Adult,بڑوں میں چکن پاکس,بخار سر درد پھر جسم پر چھالے خارش,fever headache then body blisters itching rash,آرام کریں اینٹی وائرل دوا ڈاکٹر ملیں,Rest antiviral medication consult doctor,No,Viral,Moderate
